iter	Passed	Remaining
0	142	142789
1	143	71650
2	144	47875
3	144	35984
4	145	28855
5	145	24097
6	145	20697
7	146	18149
8	146	16167
9	147	14582
10	147	13288
11	148	12210
12	148	11298
13	149	10515
14	149	9835
15	150	9239
16	150	8715
17	151	8252
18	151	7837
19	152	7468
20	152	7129
21	153	6819
22	153	6537
23	154	6277
24	154	6038
25	155	5818
26	155	5613
27	156	5427
28	156	5251
29	157	5087
30	157	4934
31	158	4791
32	158	4656
33	159	4529
34	159	4408
35	160	4295
36	160	4188
37	161	4086
38	161	3989
39	162	3897
40	162	3810
41	163	3727
42	163	3648
43	164	3573
44	164	3500
45	165	3431
46	165	3364
47	166	3300
48	166	3238
49	167	3179
50	167	3123
51	168	3069
52	168	3018
53	169	2968
54	169	2920
55	170	2872
56	170	2827
57	171	2783
58	171	2741
59	172	2700
60	172	2660
61	173	2622
62	173	2585
63	174	2549
64	174	2516
65	175	2482
66	175	2450
67	176	2415
68	176	2384
69	177	2354
70	177	2324
71	178	2295
72	178	2268
73	179	2242
74	179	2218
75	180	2193
76	180	2168
77	181	2143
78	181	2119
79	182	2096
80	182	2073
81	183	2051
82	183	2030
83	184	2008
84	184	1986
85	185	1967
86	185	1945
87	185	1926
88	186	1907
89	186	1889
90	187	1871
91	187	1854
92	188	1837
93	188	1820
94	189	1804
95	189	1787
96	190	1773
97	191	1758
98	191	1744
99	192	1729
100	192	1715
101	192	1698
102	193	1684
103	193	1670
104	194	1656
105	194	1643
106	195	1629
107	195	1617
108	196	1605
109	196	1593
110	197	1581
111	197	1569
112	198	1557
113	198	1545
114	199	1534
115	199	1522
116	200	1511
117	200	1500
118	201	1488
119	201	1478
120	202	1468
121	202	1458
122	202	1447
123	203	1437
124	203	1427
125	204	1418
126	204	1409
127	205	1398
128	205	1389
129	206	1380
130	206	1372
131	207	1363
132	207	1354
133	208	1347
134	209	1341
135	209	1332
136	210	1324
137	210	1316
138	211	1308
139	211	1300
140	212	1292
141	212	1284
142	213	1277
143	213	1270
144	214	1263
145	214	1255
146	215	1248
147	215	1241
148	216	1234
149	216	1227
150	217	1220
151	217	1214
152	218	1207
153	218	1201
154	219	1195
155	219	1189
156	220	1183
157	220	1176
158	221	1170
159	221	1164
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1135
165	224	1129
166	225	1124
167	226	1119
168	226	1113
169	226	1108
170	227	1102
171	227	1097
172	228	1091
173	228	1086
174	229	1081
175	229	1076
176	230	1071
177	230	1066
178	231	1061
179	231	1056
180	232	1050
181	232	1045
182	233	1040
183	233	1036
184	234	1031
185	234	1026
186	235	1023
187	235	1018
188	236	1014
189	236	1009
190	237	1005
191	237	1001
192	238	996
193	238	992
194	239	988
195	239	984
196	240	979
197	240	975
198	241	971
199	241	967
200	242	963
201	242	959
202	243	955
203	243	952
204	244	948
205	245	944
206	245	940
207	246	936
208	246	933
209	247	929
210	247	926
211	248	922
212	248	919
213	249	915
214	249	911
215	250	908
216	250	904
217	251	900
218	251	897
219	252	893
220	252	890
221	253	887
222	253	883
223	254	880
224	254	876
225	255	873
226	255	870
227	256	866
228	256	863
229	256	860
230	257	856
231	257	854
232	258	850
233	259	847
234	259	844
235	259	841
236	260	838
237	261	835
238	261	832
239	261	829
240	262	826
241	262	823
242	263	820
243	263	817
244	264	814
245	264	811
246	265	809
247	265	806
248	266	803
249	266	800
250	267	797
251	267	794
252	268	792
253	268	789
254	269	786
255	269	784
256	270	782
257	271	779
258	271	776
259	271	774
260	272	771
261	272	768
262	273	766
263	273	763
264	274	761
265	275	758
266	275	756
267	276	753
268	276	751
269	277	748
270	277	746
271	277	743
272	278	741
273	278	739
274	279	736
275	279	734
276	280	732
277	280	729
278	281	727
279	281	725
280	282	722
281	282	720
282	283	718
283	283	715
284	284	713
285	284	711
286	285	709
287	285	707
288	286	704
289	287	702
290	287	700
291	288	698
292	288	696
293	288	693
294	289	691
295	289	689
296	290	687
297	290	685
298	291	683
299	291	681
300	292	679
301	292	677
302	293	674
303	293	672
304	294	670
305	294	668
306	295	666
307	295	664
308	296	663
309	297	661
310	297	659
311	298	657
312	298	655
313	299	653
314	300	652
315	300	650
316	301	648
317	301	646
318	302	645
319	302	643
320	303	641
321	304	640
322	304	638
323	305	636
324	305	634
325	306	632
326	306	630
327	307	629
328	307	627
329	307	625
330	308	624
331	309	622
332	309	620
333	310	618
334	310	617
335	311	615
336	311	613
337	312	611
338	312	609
339	313	608
340	313	606
341	314	604
342	314	603
343	315	601
344	315	599
345	316	597
346	316	596
347	317	594
348	317	592
349	318	591
350	318	589
351	319	587
352	319	585
353	320	584
354	320	582
355	321	581
356	321	579
357	322	577
358	322	576
359	323	574
360	323	572
361	324	571
362	324	569
363	325	568
364	325	566
365	326	564
